ID,Name,Centroid
V1,Flensburg,POINT (9.440383577156673 54.78964187919546)
V2,Kiel,POINT (10.134123139151573 54.326100932347956)
V3,Lübeck,POINT (10.728032871502128 53.872898977619855)
V4,Neumünster,POINT (9.984528456376973 54.08110702188196)
V5,Brunsbüttel,POINT (9.122644634902723 53.90532275413774)
V6,Heide,POINT (9.132391086886278 54.19314587757783)
V7,Burg-St. Michaelisdonn,POINT (9.200483440468043 54.00131878200775)
V8,Marne-Nordsee,POINT (8.974572559056549 53.97114969310999)
V9,Kirchspielslandgemeinden Eider,POINT (9.184672520163144 54.27451680837358)
V10,Kirchspielslandgemeinde Heider Umland,POINT (9.068986095386 54.19520252951694)
V11,Mitteldithmarschen,POINT (9.160971864792334 54.103295433603016)
V12,Büsum-Wesselburen,POINT (8.90067014871323 54.19866632336676)
V13,Geesthacht,POINT (10.388638334638012 53.431583637464804)
V14,Lauenburg/Elbe,POINT (10.552034276995212 53.376372989521386)
V15,Mölln,POINT (10.700197395540386 53.61839508752216)
V16,Ratzeburg,POINT (10.76204991483113 53.713338901977195)
V17,Schwarzenbek,POINT (10.477972636040557 53.50154846670022)
V18,Wentorf bei Hamburg,POINT (10.25706098818397 53.494993241211894)
V19,Berkenthin,POINT (10.625373088472296 53.74259126526072)
V20,Breitenfelde,POINT (10.634484130693696 53.58894597283094)
V21,Büchen,POINT (10.673890508855832 53.51507852834754)
V22,Hohe Elbgeest,POINT (10.352551153143551 53.47664273799051)
V23,Lütau,POINT (10.542153540988668 53.414244797392996)
V24,Lauenburgische Seen,POINT (10.808543995909814 53.66824180466935)
V25,Schwarzenbek-Land,POINT (10.481462849571729 53.53195378056407)
V26,Sandesneben-Nusse,POINT (10.538211565084051 53.687880765318226)
V27,Sachsenwald (Forstgutsbez.),POINT (10.37330093414825 53.530905405876084)
V28,Friedrichstadt,POINT (9.092221420506428 54.37700312154266)
V29,Husum,POINT (9.048961033225195 54.48834848808732)
V30,Reußenköge,POINT (8.901253755648188 54.60165069430773)
V31,Tönning,POINT (8.886784457677425 54.30312548898513)
V32,Sylt,POINT (8.35448525155723 54.87829457597469)
V33,Eiderstedt,POINT (8.791194538404955 54.34920154610359)
V34,Landschaft Sylt,POINT (8.363127640117165 54.96041700693334)
V35,Viöl,POINT (9.195498126327532 54.55700592592215)
V36,Pellworm,POINT (8.6325142452781 54.5539214498301)
V37,Föhr-Amrum,POINT (8.468120454767279 54.70591495097539)
V38,Südtondern,POINT (8.869278977879029 54.80674581627307)
V39,Nordsee-Treene,POINT (9.074791276748906 54.454499712686015)
V40,Mittleres Nordfriesland,POINT (8.999625179079818 54.648684273676835)
V41,Ahrensbök,POINT (10.56759978636924 54.00203148302274)
V42,Bad Schwartau,POINT (10.685200270888998 53.92659167002126)
V43,Bosau,POINT (10.50916446390612 54.09408985678179)
V44,Dahme,POINT (11.07342295078616 54.22022864856526)
V45,Eutin,POINT (10.617433641992124 54.14769891258338)
V46,Grömitz,POINT (10.969280283456081 54.17769204235467)
V47,Grube,POINT (11.041881772163753 54.242353465565664)
V48,Heiligenhafen,POINT (10.972871536516516 54.36748466114834)
V49,Kellenhusen (Ostsee),POINT (11.0518257372319 54.19644181787472)
V50,Malente,POINT (10.573567811308171 54.187706827873704)
V51,Neustadt in Holstein,POINT (10.834011849252919 54.10365332464014)
V52,Oldenburg in Holstein,POINT (10.870110897984551 54.2984766212027)
V53,Ratekau,POINT (10.748160934917646 53.962766553875824)
V54,Stockelsdorf,POINT (10.618055378842595 53.93039417811379)
V55,Süsel,POINT (10.668775593980286 54.09244478580166)
V56,Timmendorfer Strand,POINT (10.78040030346811 53.981924067500266)
V57,Scharbeutz,POINT (10.688864623797134 54.02557733882438)
V58,Fehmarn,POINT (11.149032064361753 54.464349544385016)
V59,Oldenburg-Land,POINT (10.92394568711926 54.30410235509011)
V60,Lensahn,POINT (10.896743965220132 54.22354332753487)
V61,Ostholstein-Mitte,POINT (10.78379959035558 54.152105101849045)
V62,Barmstedt,POINT (9.773439106875365 53.79849413959702)
V63,Bönningstedt,POINT (9.911112383924662 53.67176730159638)
V64,Elmshorn,POINT (9.664622928391122 53.75163080866771)
V65,Halstenbek,POINT (9.838386756233682 53.62456465715661)
V66,Hasloh,POINT (9.921345481365393 53.69822276971952)
V67,Helgoland,POINT (7.896441222505223 54.18193975888865)
V68,Pinneberg,POINT (9.79224980331356 53.647386974536516)
V69,Quickborn,POINT (9.903572477806643 53.733621647780105)
V70,Rellingen,POINT (9.852036792258396 53.64754462648495)
V71,Schenefeld,POINT (9.826293945325636 53.60158249804015)
V72,Tornesch,POINT (9.73420550119058 53.70091344430772)
V73,Uetersen,POINT (9.668277860613903 53.68728709776937)
V74,Wedel,POINT (9.702351029203996 53.58870547522844)
V75,Elmshorn-Land,POINT (9.630104172421664 53.73794586096933)
V76,Hörnerkirchen,POINT (9.713914039122164 53.8626560977987)
V77,Rantzau,POINT (9.794979756169207 53.78561967865458)
V78,Pinnau,POINT (9.831465115686042 53.687036191124804)
V79,Geest und Marsch Südholstein,POINT (9.643429211720646 53.64735074209794)
V80,Ascheberg (Holstein),POINT (10.329085630964963 54.14866737299372)
V81,Bönebüttel,POINT (10.065860269645281 54.07528011123155)
V82,Bösdorf,POINT (10.484716028414008 54.133063506159324)
V83,Plön,POINT (10.424262595605871 54.144352812478786)
V84,Preetz,POINT (10.277419333188895 54.23037253583785)
V85,Schwentinental,POINT (10.236423125237529 54.28514798181079)
V86,Lütjenburg,POINT (10.58468250700067 54.29953559284513)
V87,Großer Plöner See,POINT (10.416646456845077 54.175391920658726)
V88,Preetz-Land,POINT (10.251560251997008 54.22063963441537)
V89,Probstei,POINT (10.344059353138203 54.380606643508)
V90,Selent/Schlesen,POINT (10.389031699510817 54.293663893133086)
V91,Schrevenborn,POINT (10.225667123048026 54.34597153473598)
V92,Bokhorst-Wankendorf,POINT (10.167900799187844 54.1125666896333)
V93,Altenholz,POINT (10.106146949655903 54.39439809293711)
V94,Büdelsdorf,POINT (9.68295248287657 54.318649565187314)
V95,Eckernförde,POINT (9.83038778546367 54.47138476246884)
V96,Kronshagen,POINT (10.082585555379161 54.336527401194346)
V97,Rendsburg,POINT (9.654218091651979 54.30245267379487)
V98,Wasbek,POINT (9.895790747845727 54.08323056193767)
V99,Achterwehr,POINT (9.936736625793461 54.30550527534255)
V100,Dänischenhagen,POINT (10.08665556052683 54.45309709632049)
V101,Dänischer Wohld,POINT (9.980352418179205 54.396396524156785)
V102,Fockbek,POINT (9.607318013516094 54.31564098912376)
V103,Hohner Harde,POINT (9.493103913595679 54.27105757137053)
V104,Jevenstedt,POINT (9.645172239741793 54.206161234985096)
V105,Nortorfer Land,POINT (9.84418884614259 54.18950715502941)
V106,Eiderkanal,POINT (9.772064619892216 54.309021382398484)
V107,Bordesholm,POINT (10.036798458055454 54.17306223155086)
V108,Hüttener Berge,POINT (9.71813481432998 54.39861731930579)
V109,Schlei-Ostsee,POINT (9.861803816073422 54.531348006178206)
V110,Mittelholstein,POINT (9.609278779584848 54.102403932264366)
V111,Eidertal,POINT (10.039969533208492 54.251240459150644)
V112,Kappeln,POINT (9.960369502380518 54.663620710861345)
V113,Schleswig,POINT (9.559011419711144 54.51976669594248)
V114,Glücksburg (Ostsee),POINT (9.561528638045955 54.8486730822435)
V115,Harrislee,POINT (9.385191677481112 54.812350136958)
V116,Handewitt,POINT (9.333773969138035 54.75692544834704)
V117,Eggebek,POINT (9.321438078660577 54.633896724528796)
V118,Haddeby,POINT (9.569722087114608 54.47516028094703)
V119,Hürup,POINT (9.536293650566355 54.73894022860278)
V120,Kappeln-Land,POINT (9.876411991233352 54.64895762497894)
V121,Langballig,POINT (9.631544622219936 54.803519859448315)
V122,Oeversee,POINT (9.437657100500086 54.674169699713275)
V123,Mittelangeln,POINT (9.629321910200161 54.69573521785482)
V124,Schafflund,POINT (9.185610947844605 54.75810324176324)
V125,Süderbrarup,POINT (9.76401193018341 54.630071856537704)
V126,Südangeln,POINT (9.60012901652905 54.587632600377866)
V127,Geltinger Bucht,POINT (9.845134252830162 54.735987816420405)
V128,Arensharde,POINT (9.403435891826627 54.52636825013799)
V129,Kropp-Stapelholm,POINT (9.383455553273063 54.376304382408165)
V130,Bad Bramstedt,POINT (9.904269225288528 53.91109246687818)
V131,Bad Segeberg,POINT (10.312806057232585 53.9415618863822)
V132,Ellerau,POINT (9.926120489035217 53.76015338949092)
V133,Henstedt-Ulzburg,POINT (10.004505539328035 53.782558361714266)
V134,Kaltenkirchen,POINT (9.938830055416098 53.8289986681332)
V135,Norderstedt,POINT (9.995389405450064 53.70058617819682)
V136,Wahlstedt,POINT (10.20137027739696 53.956172502104565)
V137,Bad Bramstedt-Land,POINT (9.887292717099124 53.94078108937748)
V138,Bornhöved,POINT (10.262015092867173 54.06177557308866)
V139,Itzstedt,POINT (10.171926498944986 53.81387230330669)
