ID,Name,Centroid
A1,Düsseldorf,POINT (6.59591593508745 51.43047689316762)
A2,Köln,POINT (6.809113457007303 50.82508005110235)
A3,Münster,POINT (7.416422808727447 51.950492925824385)
A4,Detmold,POINT (8.784297570162607 51.939713261635774)
A5,Arnsberg,POINT (8.005532192858826 51.316107916709754)
A6,Darmstadt,POINT (8.758376062150656 50.05886736333623)
A7,Gießen,POINT (8.746171963587775 50.64738132064342)
A8,Kassel,POINT (9.453886007860559 51.053557019749604)
A9,Stuttgart,POINT (9.625503120492121 49.01629018580908)
A10,Karlsruhe,POINT (8.681086667601205 49.022293642099285)
A11,Freiburg,POINT (8.219270419266696 48.02860144308822)
A12,Tübingen,POINT (9.50358523800397 48.14327958431021)
A13,Oberbayern,POINT (11.753751274084946 48.10117107678656)
A14,Niederbayern,POINT (12.786375537701241 48.7066313611092)
A15,Oberpfalz,POINT (12.11710023587689 49.39942528577075)
A16,Oberfranken,POINT (11.376090912368216 50.05090810832372)
A17,Mittelfranken,POINT (10.786147518840876 49.348130915304715)
A18,Unterfranken,POINT (9.947613734430448 50.01116389952717)
A19,Schwaben,POINT (10.522422521262623 48.16465546564686)
