ID,Name,Centroid
D1,Flensburg,POINT (9.440383577156673 54.78964187919546)
D2,Kiel,POINT (10.134123139151573 54.326100932347956)
D3,Lübeck,POINT (10.728032871502128 53.872898977619855)
D4,Neumünster,POINT (9.984528456376973 54.08110702188196)
D5,Dithmarschen,POINT (9.109582921849395 54.132438751490746)
D6,Herzogtum Lauenburg,POINT (10.601836932792425 53.58896942018188)
D7,Nordfriesland,POINT (8.898730426124205 54.61405105826772)
D8,Ostholstein,POINT (10.820387957986746 54.19029457871506)
D9,Pinneberg,POINT (9.726507480943035 53.71622535849136)
D10,Plön,POINT (10.363579514541932 54.24338731499953)
D11,Rendsburg-Eckernförde,POINT (9.781994431390892 54.29186710565532)
D12,Schleswig-Flensburg,POINT (9.511627892551704 54.62763033629509)
D13,Segeberg,POINT (10.141073109511241 53.92005622367242)
D14,Steinburg,POINT (9.514284025120412 53.924541576209656)
D15,Stormarn,POINT (10.331625050219301 53.72076871363738)
D16,Hamburg,POINT (10.00802493987208 53.54875298345912)
D17,Braunschweig,POINT (10.52417168914646 52.275262185464975)
D18,Salzgitter,POINT (10.370710092684472 52.12445943104119)
D19,Wolfsburg,POINT (10.784967372654227 52.41081973151195)
D20,Gifhorn,POINT (10.6041798999437 52.58039149800592)
D21,Goslar,POINT (10.40019247433782 51.874808563579215)
D22,Helmstedt,POINT (10.888625824150028 52.260661134253795)
D23,Northeim,POINT (9.848295356012864 51.74271037637998)
D24,Peine,POINT (10.255542655633713 52.30429092411361)
D25,Wolfenbüttel,POINT (10.583847195648689 52.12697159888882)
D26,Göttingen,POINT (10.08794402597397 51.564138820286516)
D27,Region Hannover,POINT (9.719663021871707 52.42185901793388)
D28,Diepholz,POINT (8.701730372747821 52.72834961031821)
D29,Hameln-Pyrmont,POINT (9.389917507194925 52.095013545612176)
D30,Hildesheim,POINT (9.943413796686917 52.09032050923783)
D31,Holzminden,POINT (9.551349724921703 51.88037479518019)
D32,Nienburg (Weser),POINT (9.114316569842135 52.60915626893316)
D33,Schaumburg,POINT (9.206616534436588 52.2927679077511)
D34,Celle,POINT (10.103532240514603 52.713204846471754)
D35,Cuxhaven,POINT (8.812500777231808 53.616583524574445)
D36,Harburg,POINT (9.96279389781503 53.31572855563152)
D37,Lüchow-Dannenberg,POINT (11.123151409010553 53.01979093671515)
D38,Lüneburg,POINT (10.573080207465644 53.23248473339671)
D39,Osterholz,POINT (8.808085969785004 53.250969138659016)
D40,Rotenburg (Wümme),POINT (9.306553097977202 53.25074776332622)
D41,Heidekreis,POINT (9.769247513011125 52.928256361811414)
D42,Stade,POINT (9.42044839313943 53.58515477096454)
D43,Uelzen,POINT (10.547522116996674 52.983607712328634)
D44,Verden,POINT (9.175328880929378 52.97325651255177)
D45,Delmenhorst,POINT (8.645824796097408 53.04956302098577)
D46,Emden,POINT (7.180937420338536 53.360662504205486)
D47,Oldenburg (Oldb),POINT (8.224405123645864 53.14472426478605)
D48,Osnabrück,POINT (8.047509833865368 52.2773355523176)
D49,Wilhelmshaven,POINT (8.087652028119258 53.56658803699728)
D50,Ammerland,POINT (8.013465048277897 53.218320660918515)
D51,Aurich,POINT (7.36828247580465 53.49778578535559)
D52,Cloppenburg,POINT (7.904635400235915 52.910953970715425)
D53,Emsland,POINT (7.402681206214201 52.73824998788126)
D54,Friesland,POINT (7.98269413216468 53.50902722146473)
D55,Grafschaft Bentheim,POINT (7.019882621410429 52.47600919500656)
D56,Leer,POINT (7.470210194592542 53.24341392096411)
D57,Oldenburg,POINT (8.389390466868967 52.98805204380154)
D58,Osnabrück,POINT (8.045235677861744 52.38149841982249)
D59,Vechta,POINT (8.222928757658714 52.6602795969701)
D60,Wesermarsch,POINT (8.390341393222792 53.3555685670062)
D61,Wittmund,POINT (7.70564287296205 53.576198709701224)
D62,Bremen,POINT (8.780218782977064 53.11972161059221)
D63,Bremerhaven,POINT (8.58126443269211 53.54026388071593)
D64,Düsseldorf,POINT (6.810211931837829 51.235569426987105)
D65,Duisburg,POINT (6.734681052980137 51.43977172627063)
D66,Essen,POINT (7.017112980406685 51.43381248441659)
D67,Krefeld,POINT (6.579744086206585 51.34496961823306)
D68,Mönchengladbach,POINT (6.412026003593232 51.167300452499)
D69,Mülheim an der Ruhr,POINT (6.878315260468312 51.41373838508852)
D70,Oberhausen,POINT (6.847088221477709 51.51309143381443)
D71,Remscheid,POINT (7.2238580008058 51.18269044105463)
D72,Solingen,POINT (7.066391535510631 51.16248987916435)
D73,Wuppertal,POINT (7.168961347852074 51.250852746218705)
D74,Kleve,POINT (6.258776989731486 51.65241552331133)
D75,Mettmann,POINT (6.968939381606642 51.25724651760929)
D76,Rhein-Kreis Neuss,POINT (6.64946923641255 51.14349620597578)
D77,Viersen,POINT (6.32601827343366 51.28280162172414)
D78,Wesel,POINT (6.618444577400664 51.627014677223116)
D79,Bonn,POINT (7.109838181080088 50.705767226710435)
D80,Köln,POINT (6.973700634759826 50.94562078851907)
D81,Leverkusen,POINT (7.015245166167052 51.05305275441664)
D82,Städteregion Aachen,POINT (6.216774779493228 50.727544052223486)
D83,Düren,POINT (6.445585912596447 50.817823631210246)
D84,Rhein-Erft-Kreis,POINT (6.716585204625059 50.90501845785189)
D85,Euskirchen,POINT (6.644166447566353 50.536368513300964)
D86,Heinsberg,POINT (6.164168716894306 51.04933908507996)
D87,Oberbergischer Kreis,POINT (7.5164777876403015 51.01266547599947)
D88,Rheinisch-Bergischer Kreis,POINT (7.194501025390546 51.02303606858198)
D89,Rhein-Sieg-Kreis,POINT (7.234352322444598 50.760669094989304)
D90,Bottrop,POINT (6.920181141240099 51.57173307128315)
D91,Gelsenkirchen,POINT (7.070917555743798 51.5540424946794)
D92,Münster,POINT (7.623679370186271 51.95429775447303)
D93,Borken,POINT (6.899501346310379 51.96129177415635)
D94,Coesfeld,POINT (7.365783204102552 51.86692496765544)
D95,Recklinghausen,POINT (7.159413896362972 51.67247824839393)
D96,Steinfurt,POINT (7.579486677900575 52.21152070531418)
D97,Warendorf,POINT (7.958096899229734 51.870188911851166)
