ID,Name,Centroid
F1,Schleswig-Holstein,POINT (9.815533079255523 54.185586799977045)
F2,Hamburg,POINT (10.00802493987208 53.54875298345912)
F3,Niedersachsen,POINT (9.15912197287719 52.767405908560576)
F4,Bremen,POINT (8.738421754312434 53.208070607705636)
F5,Nordrhein-Westfalen,POINT (7.562167832247922 51.47979046906482)
F6,Hessen,POINT (9.03095915220893 50.60325000970925)
F7,Rheinland-Pfalz,POINT (7.449305134780534 49.91375126115931)
F8,Baden-Württemberg,POINT (9.046474429176708 48.5454700953031)
F9,Bayern,POINT (11.419921626818125 48.947550019385105)
F10,Saarland,POINT (6.953360955673903 49.38438040655551)
F11,Berlin,POINT (13.402316124623935 52.501493256127375)
F12,Brandenburg,POINT (13.397836338126567 52.472859640916816)
F13,Mecklenburg-Vorpommern,POINT (12.545065623244033 53.754773986585)
F14,Sachsen,POINT (13.348518008906732 51.05230081187263)
F15,Sachsen-Anhalt,POINT (11.700625480103437 52.013130753609104)
F16,Thüringen,POINT (11.024691697649146 50.90384061550545)
