Start_Point,End_Point,Rel_Position
C1,C747,southeastern
C1,C745,southeastern
C1,C757,eastern
C1,C726,southwestern
C1,C725,northwestern
C1,C724,northeastern
C2,C506,southern
C2,C503,southern
C2,C714,southwestern
C2,C513,southeastern
C2,C477,southeastern
C2,C548,eastern
C2,C716,southwestern
C2,C715,southwestern
C2,C567,western
C2,C560,western
C2,C568,western
C2,C547,northeastern
C2,C557,northern
C2,C579,northwestern
C2,C571,northern
C2,C574,northern
C3,C136,southwestern
C3,C133,southern
C3,C129,southwestern
C3,C134,southwestern
C3,C231,southwestern
C3,C1091,western
C3,C1085,southwestern
C3,C1082,western
C3,C1080,western
C3,C1084,western
C3,C1086,western
C3,C388,northwestern
C3,C400,northwestern
C3,C193,southern
C3,C192,southern
C3,C9430,southeastern
C3,C9434,eastern
C3,C399,northern
C3,C9428,eastern
C3,C402,northern
C4,C909,southeastern
C4,C857,southern
C4,C907,southern
C4,C702,southwestern
C4,C473,eastern
C4,C555,northeastern
C4,C550,northeastern
C4,C646,northeastern
C4,C688,southwestern
C4,C562,western
C4,C619,northwestern
C4,C639,northern
C4,C640,northern
C4,C644,northern
C4,C634,northern
C5,C29,western
C5,C1022,eastern
C5,C28,western
C5,C30,northwestern
C5,C12,northern
C5,C1025,northeastern
C5,C7,northeastern
C6,C68,southwestern
C6,C70,western
C6,C72,western
C6,C73,southeastern
C6,C40,eastern
C6,C78,northwestern
C6,C74,northern
C6,C77,northwestern
C6,C34,northeastern
C6,C67,northern
C7,C5,southwestern
C7,C12,western
C7,C1025,southeastern
C7,C17,northern
C8,C9,southern
C8,C10,southeastern
C8,C18,western
C8,C16,northeastern
C8,C15,northern
C9,C1024,southeastern
C9,C17,southwestern
C9,C1019,eastern
C9,C10,northeastern
C9,C18,northwestern
C9,C8,northern
C10,C1019,southern
C10,C9,southwestern
C10,C8,northwestern
C10,C1015,eastern
C10,C1003,northeastern
C10,C1001,northeastern
C10,C16,northern
C11,C30,southwestern
C11,C12,southeastern
C11,C33,western
C11,C17,eastern
C11,C18,northeastern
C11,C19,northern
C12,C5,southern
C12,C30,western
C12,C11,northwestern
C12,C7,eastern
C12,C17,northeastern
C13,C16,southeastern
C13,C15,southwestern
C13,C20,western
C13,C89,northwestern
C13,C96,northeastern
C13,C1005,eastern
C14,C18,southern
C14,C19,southwestern
C14,C87,western
C14,C99,northwestern
C14,C15,eastern
C14,C20,northeastern
C14,C89,northern
C15,C18,southwestern
C15,C8,southern
C15,C16,eastern
C15,C14,western
C15,C20,northwestern
C15,C13,northeastern
C16,C10,southern
C16,C8,southwestern
C16,C1003,eastern
C16,C15,western
C16,C13,northwestern
C16,C1005,northeastern
C17,C12,southwestern
C17,C11,western
C17,C1025,southern
C17,C7,southern
C17,C1024,southeastern
C17,C9,northeastern
C17,C18,northern
C18,C11,southwestern
C18,C17,southern
C18,C9,southeastern
C18,C8,eastern
C18,C19,western
C18,C15,northeastern
C18,C14,northern
C19,C11,southern
C19,C33,southwestern
C19,C18,eastern
C19,C82,northwestern
C19,C87,northern
C19,C14,northeastern
C20,C15,southeastern
C20,C14,southwestern
C20,C13,eastern
C20,C89,northwestern
C21,C28,southern
C21,C31,southeastern
C21,C30,eastern
C21,C26,northwestern
C21,C33,northeastern
C22,C24,southern
C22,C25,southeastern
C23,C27,southwestern
C23,C26,southern
C23,C33,eastern
C23,C25,western
C23,C32,northern
C24,C29,southeastern
C24,C22,northern
C24,C25,northeastern
C25,C29,southern
C25,C24,southwestern
C25,C22,northwestern
C25,C28,southeastern
C25,C27,southern
C25,C23,eastern
C25,C32,northeastern
C25,C82,northeastern
C26,C28,southern
C26,C21,southeastern
C26,C27,western
C26,C33,northeastern
C26,C23,northern
C27,C28,southeastern
C27,C26,eastern
C27,C23,northeastern
C27,C25,northern
C28,C29,southwestern
C28,C5,eastern
C28,C31,northeastern
C28,C21,northern
C28,C30,northeastern
C28,C27,northwestern
C28,C26,northern
C28,C25,northwestern
C29,C24,northwestern
C29,C5,eastern
C29,C28,northeastern
C29,C25,northern
C30,C5,southeastern
C30,C28,southwestern
C30,C31,southwestern
C30,C21,western
C30,C12,eastern
C30,C11,northeastern
C30,C33,northern
C31,C28,southwestern
C31,C21,northwestern
C31,C30,northeastern
C32,C33,southeastern
C32,C23,southern
C32,C25,southwestern
C32,C82,northeastern
C33,C21,southwestern
C33,C30,southern
C33,C26,southwestern
C33,C11,eastern
C33,C23,western
C33,C19,northeastern
C33,C32,northwestern
C33,C82,northern
C34,C6,southwestern
C34,C40,southeastern
C34,C59,eastern
C34,C53,northwestern
C34,C67,northwestern
C34,C51,northern
C35,C44,southwestern
C35,C46,southern
C35,C844,northeastern
C36,C59,western
C36,C66,southwestern
C36,C65,southern
C36,C38,western
C36,C587,northeastern
C36,C60,northern
C36,C591,northeastern
C36,C593,eastern
C36,C590,eastern
C37,C57,southern
C37,C41,southern
C37,C61,southern
C37,C46,southwestern
C37,C844,northern
C37,C835,eastern
C38,C59,southwestern
C38,C36,eastern
C38,C60,northeastern
C38,C45,southwestern
C38,C54,northwestern
C39,C75,southwestern
C39,C64,southern
C39,C67,southeastern
C39,C44,northeastern
C39,C55,western
C39,C58,northern
C39,C48,northern
C40,C6,western
C40,C73,southwestern
C40,C97,southeastern
C40,C62,eastern
C40,C59,northeastern
C40,C34,northwestern
C41,C57,southeastern
C41,C51,southwestern
C41,C61,northeastern
C41,C44,northwestern
C41,C46,northern
C41,C37,northern
C42,C43,southern
C42,C55,southeastern
C42,C49,eastern
C42,C52,northeastern
C42,C50,northern
C42,C47,southwestern
C42,C265,northwestern
C43,C71,southern
C43,C75,southeastern
C43,C113,southwestern
C43,C55,northeastern
C43,C42,northern
C43,C47,northwestern
C44,C67,southern
C44,C51,southern
C44,C41,southeastern
C44,C46,eastern
C44,C39,southwestern
C44,C48,northwestern
C44,C342,northern
C44,C35,northeastern
C44,C844,northeastern
C45,C59,southern
C45,C38,northeastern
C45,C57,western
C45,C54,northern
C46,C41,southern
C46,C44,western
C46,C37,northeastern
C46,C35,northern
C46,C844,northern
C47,C113,southern
C47,C43,southeastern
C47,C42,northeastern
C47,C112,southern
C47,C118,southwestern
C47,C257,western
C47,C265,northern
C48,C44,southeastern
C48,C39,southern
C48,C58,western
C48,C56,northwestern
C48,C342,northern
C49,C55,southern
C49,C58,eastern
C49,C42,western
C49,C52,northern
C49,C56,northeastern
C50,C42,southern
C50,C52,southeastern
C50,C56,eastern
C50,C265,western
C50,C349,northeastern
C50,C366,northern
C51,C59,southeastern
C51,C53,western
C51,C34,southern
C51,C67,southwestern
C51,C57,eastern
C51,C41,northeastern
C51,C44,northern
C52,C42,southwestern
C52,C49,southern
