Id,ID_A,ID_B,distance_between,spatial_relation
0,A1,A1,0.0,northern
1,A1,A2,0.0,northeastern
2,A1,A3,0.0,southwestern
3,A1,A4,0.0,western
4,A1,A5,0.0,northwestern
5,A2,A1,0.0,southwestern
6,A2,A2,0.0,northern
7,A2,A3,72881.77368574335,southwestern
8,A2,A4,84788.27118903612,western
9,A2,A5,0.0,western
10,A3,A1,0.0,northeastern
11,A3,A2,72881.77368574335,northeastern
12,A3,A3,0.0,northern
13,A3,A4,0.0,northern
14,A3,A5,29969.382129354657,northern
15,A4,A1,0.0,eastern
16,A4,A2,84788.27118903612,eastern
17,A4,A3,0.0,southern
18,A4,A4,0.0,northern
19,A4,A5,0.0,northeastern
20,A5,A1,0.0,southeastern
21,A5,A2,0.0,eastern
22,A5,A3,29969.382129354657,southern
23,A5,A4,0.0,southwestern
24,A5,A5,0.0,northern
