ID,Name,Centroid
V1,Braunschweig,POINT (10.52417168914646 52.275262185464975)
V2,Salzgitter,POINT (10.370710092684472 52.12445943104119)
V3,Wolfsburg,POINT (10.784967372654227 52.41081973151195)
V4,Gifhorn,POINT (10.52374442365333 52.50618528966317)
V5,Sassenburg,POINT (10.647449167434573 52.53249451341577)
V6,Wittingen,POINT (10.749465020861855 52.683747320965246)
V7,Boldecker Land,POINT (10.734205381610845 52.50252229699053)
V8,Brome,POINT (10.856535959012124 52.55415551596767)
V9,Hankensbüttel,POINT (10.522231696886335 52.735712634978704)
V10,Isenbüttel,POINT (10.576485829427225 52.428675487935955)
V11,Meinersen,POINT (10.381206779764113 52.480234659397134)
V12,Papenteich,POINT (10.505292552521087 52.3754288259413)
V13,Wesendorf,POINT (10.525429869749278 52.61163301366663)
V14,Giebel,POINT (10.924942672096456 52.512711915632785)
V15,Bad Harzburg,POINT (10.567575559426727 51.89016844765541)
V16,Liebenburg,POINT (10.409356526472713 52.00374660976603)
V17,Seesen,POINT (10.148117211198636 51.89710702594824)
V18,Braunlage,POINT (10.59526613132008 51.714494004138714)
V19,Goslar,POINT (10.474757079851331 51.92837202792611)
V20,Clausthal-Zellerfeld,POINT (10.352307955127415 51.8035231457744)
V21,Langelsheim,POINT (10.285975925894792 51.960651372329856)
V22,Harz (Landkreis Goslar),POINT (10.427782397298039 51.81183852202177)
V23,Königslutter am Elm,POINT (10.814110832645449 52.278825223854255)
V24,Lehre,POINT (10.67646664179627 52.34051212821385)
V25,Schöningen,POINT (10.970737943965277 52.1388924783901)
V26,Helmstedt,POINT (10.990691421209563 52.21318676771523)
V27,Grasleben,POINT (10.956817134666812 52.30668682179715)
V28,Heeseberg,POINT (10.883562675200709 52.089617981747985)
V29,Nord-Elm,POINT (10.912180307079945 52.21695157687636)
V30,Velpke,POINT (10.951944488602113 52.38912645500008)
V31,Brunsleberfeld,POINT (10.847081703041598 52.18649175378917)
V32,Helmstedt,POINT (11.03879862233151 52.24508245224146)
V33,Königslutter,POINT (10.793254819390341 52.22447158086227)
V34,Mariental,POINT (10.981179803478048 52.29610508432449)
V35,Schöningen,POINT (10.910214677945964 52.15695877391459)
V36,Bad Gandersheim,POINT (10.040773361255257 51.88354455576251)
V37,Bodenfelde,POINT (9.53534320412812 51.65018332715467)
V38,Dassel,POINT (9.71659930305374 51.80730363978188)
V39,Hardegsen,POINT (9.803207883862276 51.65187213093439)
V40,Kalefeld,POINT (10.083061768557265 51.79061445359482)
V41,Katlenburg-Lindau,POINT (10.09740426086575 51.66512429053363)
V42,Moringen,POINT (9.833494373903577 51.7065697176499)
V43,Nörten-Hardenberg,POINT (9.95489409357368 51.63356912373442)
V44,Northeim,POINT (9.99599060942986 51.71672355531076)
V45,Uslar,POINT (9.66600856756288 51.648002195096886)
V46,Einbeck,POINT (9.88865559407245 51.82270167012794)
V47,Solling (Landkreis Northeim),POINT (9.59432079694072 51.717832120602175)
V48,Edemissen,POINT (10.272534088338276 52.39761726530928)
V49,Hohenhameln,POINT (10.0775334728278 52.26912711361531)
V50,Lengede,POINT (10.304010090088001 52.20375434809406)
V51,Peine,POINT (10.226263616208204 52.321780741602026)
V52,Vechelde,POINT (10.366444071119039 52.2512601798301)
V53,Wendeburg,POINT (10.372353594006086 52.330880674141426)
V54,Ilsede,POINT (10.213647343712042 52.2556969737141)
V55,Cremlingen,POINT (10.681863890091977 52.26286665830933)
V56,Wolfenbüttel,POINT (10.540921843089539 52.163188959619966)
V57,Schladen-Werla,POINT (10.548630004610303 52.026461003067965)
V58,Baddeckenstedt,POINT (10.24593888364141 52.082144767017574)
V59,Oderwald,POINT (10.544992897033731 52.08615758074321)
V60,Sickte,POINT (10.676456621976035 52.198584314393166)
V61,Elm-Asse,POINT (10.730407862253845 52.120565245609434)
V62,Am Großen Rhode,POINT (10.77896610849447 52.196053765858416)
V63,Barnstorf-Warle,POINT (10.839065677588914 52.1724141168933)
V64,Voigtsdahlum,POINT (10.866747115603104 52.16510026824012)
V65,Adelebsen,POINT (9.749148096593041 51.56838076429292)
V66,Bad Grund (Harz),POINT (10.200148644491374 51.78849149362894)
V67,Bad Lauterberg im Harz,POINT (10.44979353551142 51.60878966049063)
V68,Bad Sachsa,POINT (10.541961386019015 51.58601554438787)
