ID,Name,Centroid
C1,Braunschweig,POINT (10.52417168914646 52.275262185464975)
C2,Salzgitter,POINT (10.370710092684472 52.12445943104119)
C3,Wolfsburg,POINT (10.784967372654227 52.41081973151195)
C4,Gifhorn,POINT (10.52374442365333 52.50618528966317)
C5,Sassenburg,POINT (10.647449167434573 52.53249451341577)
C6,Wittingen,POINT (10.749465020861855 52.683747320965246)
C7,Barwedel,POINT (10.769114612849583 52.53491353912604)
C8,Bokensdorf,POINT (10.705298576191112 52.502017872597875)
C9,Jembke,POINT (10.754335564826189 52.50400133708749)
C10,Osloß,POINT (10.676216183347458 52.47440731546061)
C11,Tappenbeck,POINT (10.735788312259924 52.477643284013)
C12,Weyhausen,POINT (10.717827605612616 52.46326307752375)
C13,Bergfeld,POINT (10.851748402529633 52.539169073710376)
C14,Brome,POINT (10.909174029147346 52.60017817972715)
C15,Ehra-Lessien,POINT (10.776285665964842 52.57803529416587)
C16,Parsau,POINT (10.924622377255078 52.52868649710324)
C17,Rühen,POINT (10.883392477079717 52.48895644142394)
C18,Tiddische,POINT (10.819276966259192 52.51065020048993)
C19,Tülau,POINT (10.874377574787259 52.580291411205486)
C20,Dedelstorf,POINT (10.546161777165194 52.692113572380464)
C21,Hankensbüttel,POINT (10.61363749393005 52.717416069091)
C22,Obernholz,POINT (10.601674617919185 52.76375184813816)
C23,Sprakensehl,POINT (10.4944138541188 52.78546311152008)
C24,Steinhorst,POINT (10.423994191333657 52.71345859842573)
C25,Calberlah,POINT (10.638214395361697 52.42078535892992)
C26,Isenbüttel,POINT (10.583131888837311 52.443284127078456)
C27,Ribbesbüttel,POINT (10.497199108580435 52.4307491815796)
C28,Wasbüttel,POINT (10.59369451978578 52.41246849279807)
C29,Hillerse,POINT (10.392630758585895 52.418874281684246)
C30,Leiferde,POINT (10.435152018375065 52.4485781232149)
C31,Meinersen,POINT (10.331067911485436 52.47848449535123)
C32,Müden (Aller),POINT (10.394763633119364 52.516769405681686)
C33,Adenbüttel,POINT (10.451473312003328 52.38890745624711)
C34,Meine,POINT (10.570085476669433 52.37675698211567)
C35,Rötgesbüttel,POINT (10.520476680526762 52.40937496022353)
C36,Schwülper,POINT (10.447330727419146 52.34667993129005)
C37,Vordorf,POINT (10.504847960141133 52.37178104801367)
C38,Didderse,POINT (10.406145902224235 52.38415303647964)
C39,Groß Oesingen,POINT (10.462954287657494 52.64448432491068)
C40,Schönewörde,POINT (10.64817749415399 52.62518849690497)
C41,Ummern,POINT (10.442755648440018 52.5870074739684)
C42,Wagenhoff,POINT (10.535210525408807 52.5528765996311)
C43,Wahrenholz,POINT (10.60115610902877 52.60956931298978)
C44,Wesendorf,POINT (10.536171550202436 52.587177437785904)
C45,Giebel,POINT (10.924942672096456 52.512711915632785)
C46,Bad Harzburg,POINT (10.567575559426727 51.89016844765541)
C47,Liebenburg,POINT (10.409356526472713 52.00374660976603)
C48,Seesen,POINT (10.148117211198636 51.89710702594824)
C49,Braunlage,POINT (10.59526613132008 51.714494004138714)
C50,Goslar,POINT (10.474757079851331 51.92837202792611)
C51,Clausthal-Zellerfeld,POINT (10.352307955127415 51.8035231457744)
C52,Langelsheim,POINT (10.285975925894792 51.960651372329856)
C53,Harz (Landkreis Goslar),POINT (10.427782397298039 51.81183852202177)
C54,Königslutter am Elm,POINT (10.814110832645449 52.278825223854255)
C55,Lehre,POINT (10.67646664179627 52.34051212821385)
C56,Schöningen,POINT (10.970737943965277 52.1388924783901)
C57,Helmstedt,POINT (10.990691421209563 52.21318676771523)
C58,Grasleben,POINT (11.004307113886647 52.31512130902043)
C59,Mariental,POINT (10.984944566005645 52.28130304962174)
C60,Querenhorst,POINT (10.96252744511488 52.335336256360755)
C61,Rennau,POINT (10.92400965531867 52.30378481685755)
C62,Beierstedt,POINT (10.853442340748611 52.06708202561301)
C63,Gevensleben,POINT (10.82181045625414 52.07518959823554)
C64,Jerxheim,POINT (10.897415165742634 52.07691101704685)
C65,Söllingen,POINT (10.908532094090873 52.1062650406539)
C66,Frellstedt,POINT (10.911234446331928 52.208103135901524)
C67,Räbke,POINT (10.87024634592903 52.19828224690795)
C68,Süpplingen,POINT (10.901708618287092 52.23324190332296)
C69,Süpplingenburg,POINT (10.909863685245089 52.260797794719664)
C70,Warberg,POINT (10.92524571452631 52.181484582554)
C71,Wolsdorf,POINT (10.951356662294245 52.198125009516296)
C72,Bahrdorf,POINT (11.006737453659444 52.37009379619276)
C73,Danndorf,POINT (10.906020507291997 52.43566637626199)
C74,Grafhorst,POINT (10.939014676796129 52.44658261152141)
C75,Groß Twülpstedt,POINT (10.91263547680122 52.366756646013165)
C76,Velpke,POINT (10.950729528138373 52.40819460758187)
C77,Brunsleberfeld,POINT (10.847081703041598 52.18649175378917)
C78,Helmstedt,POINT (11.03879862233151 52.24508245224146)
C79,Königslutter,POINT (10.793254819390341 52.22447158086227)
C80,Mariental,POINT (10.981179803478048 52.29610508432449)
C81,Schöningen,POINT (10.910214677945964 52.15695877391459)
C82,Bad Gandersheim,POINT (10.040773361255257 51.88354455576251)
C83,Bodenfelde,POINT (9.53534320412812 51.65018332715467)
C84,Dassel,POINT (9.71659930305374 51.80730363978188)
C85,Hardegsen,POINT (9.803207883862276 51.65187213093439)
C86,Kalefeld,POINT (10.083061768557265 51.79061445359482)
C87,Katlenburg-Lindau,POINT (10.09740426086575 51.66512429053363)
C88,Moringen,POINT (9.833494373903577 51.7065697176499)
C89,Nörten-Hardenberg,POINT (9.95489409357368 51.63356912373442)
C90,Northeim,POINT (9.99599060942986 51.71672355531076)
C91,Uslar,POINT (9.66600856756288 51.648002195096886)
C92,Einbeck,POINT (9.88865559407245 51.82270167012794)
C93,Solling (Landkreis Northeim),POINT (9.59432079694072 51.717832120602175)
C94,Edemissen,POINT (10.272534088338276 52.39761726530928)
C95,Hohenhameln,POINT (10.0775334728278 52.26912711361531)
C96,Lengede,POINT (10.304010090088001 52.20375434809406)
C97,Peine,POINT (10.226263616208204 52.321780741602026)
C98,Vechelde,POINT (10.366444071119039 52.2512601798301)
C99,Wendeburg,POINT (10.372353594006086 52.330880674141426)
C100,Ilsede,POINT (10.213647343712042 52.2556969737141)
C101,Cremlingen,POINT (10.681863890091977 52.26286665830933)
C102,Wolfenbüttel,POINT (10.540921843089539 52.163188959619966)
C103,Schladen-Werla,POINT (10.548630004610303 52.026461003067965)
C104,Baddeckenstedt,POINT (10.214206400948688 52.093067724109595)
C105,Burgdorf,POINT (10.215890455583956 52.143500362558036)
C106,Elbe,POINT (10.280166486911295 52.08894281847749)
C107,Haverlah,POINT (10.309100024102136 52.06182437615323)
C108,Heere,POINT (10.237167007640329 52.05546995895636)
C109,Sehlde,POINT (10.239775763602706 52.02949671112085)
C110,Cramme,POINT (10.467432897695994 52.1123852359765)
C111,Dorstadt,POINT (10.545705731631005 52.0971997260351)
C112,Flöthe,POINT (10.485400881364193 52.0831545662511)
C113,Heiningen,POINT (10.544978996831569 52.07308771286541)
C114,Ohrum,POINT (10.540601469994915 52.11724939777664)
C115,Börßum,POINT (10.613934949894485 52.068734663556036)
C116,Dettum,POINT (10.66798336096181 52.16313014397234)
C117,Erkerode,POINT (10.715538511520885 52.207825106651434)
C118,Evessen,POINT (10.719448638935331 52.19427379906569)
C119,Sickte,POINT (10.631835448730572 52.21179936386643)
C120,Veltheim (Ohe),POINT (10.676322464464112 52.225159173527636)
C121,Dahlum,POINT (10.851103866742472 52.14047054799618)
C122,Denkte,POINT (10.60643485129184 52.13809260934084)
C123,Hedeper,POINT (10.694027993027747 52.064848180488404)
C124,Kissenbrück,POINT (10.594980785641654 52.11140390008025)
C125,Kneitlingen,POINT (10.744005268682383 52.17053414135544)
C126,Roklum,POINT (10.738488332047163 52.07278012428098)
C127,Schöppenstedt,POINT (10.79305295095903 52.15550289700284)
C128,Uehrde,POINT (10.785652095400224 52.10382994698304)
C129,Vahlberg,POINT (10.713324440359177 52.12670476916951)
C130,Winnigstedt,POINT (10.772575795545025 52.06412039772656)
C131,Wittmar,POINT (10.644189033332495 52.129816552500316)
C132,Remlingen-Semmenstedt,POINT (10.668618562494938 52.10176262634664)
C133,Am Großen Rhode,POINT (10.77896610849447 52.196053765858416)
C134,Barnstorf-Warle,POINT (10.839065677588914 52.1724141168933)
C135,Voigtsdahlum,POINT (10.866747115603104 52.16510026824012)
C136,Adelebsen,POINT (9.749148096593041 51.56838076429292)
C137,Bad Grund (Harz),POINT (10.200148644491374 51.78849149362894)
C138,Bad Lauterberg im Harz,POINT (10.44979353551142 51.60878966049063)
C139,Bad Sachsa,POINT (10.541961386019015 51.58601554438787)
C140,Bovenden,POINT (9.937395464692411 51.59321467366387)
C141,Duderstadt,POINT (10.246447872075889 51.51822222156882)
C142,Friedland,POINT (9.928840177366908 51.430216780611225)
C143,Gleichen,POINT (10.063780655195805 51.47524053909456)
C144,Göttingen,POINT (9.931713236076066 51.543044681158975)
C145,Hann.Münden,POINT (9.678555194293297 51.43089380577016)
