ID,Geometry
C1,"POLYGON ((6.714569524348152 51.33287071024218, 6.739037659295026 51.348981593647416, 6.793931442173006 51.34345889327503, 6.795336851229779 51.35387176602555, 6.8062847599035985 51.35244232819443, 6.804967416416296 51.34788775281138, 6.802760445298967 51.32881089703954, 6.816659648150949 51.320249157535905, 6.800807478477555 51.301048886278814, 6.802382136166377 51.27541717272159, 6.848125583576227 51.27950837966956, 6.902756337391926 51.264669539571294, 6.9141808527876805 51.276351575865974, 6.936233471798972 51.27606078209576, 6.9273926261281105 51.2648742602898, 6.930997637257561 51.23817148947738, 6.92618595782723 51.24266064931279, 6.907003634325489 51.2424156841172, 6.90223035290697 51.237377828569166, 6.87160551644419 51.24161196172114, 6.874306157770038 51.21876133730753, 6.911542321473784 51.21082957232254, 6.905553540811812 51.20062897964534, 6.92016436460974 51.190212508245054, 6.9124008589943955 51.1866879741038, 6.913372705063774 51.17694430757199, 6.898725121415964 51.17252898092801, 6.895130444321007 51.158394230129666, 6.924875254199618 51.140705293292115, 6.907385254465363 51.126519838411966, 6.870658397330548 51.130008656705385, 6.855195956678177 51.12602280459207, 6.848262391331055 51.13811125367936, 6.85708036871142 51.15530209638787, 6.849966177799979 51.161110117654985, 6.834880976693393 51.15907366897429, 6.816320124673891 51.144285634093656, 6.798824398818798 51.14476189846029, 6.793801936136003 51.1800054339329, 6.780585728269965 51.185111043232915, 6.736866231429874 51.183636127046924, 6.723961627046241 51.224536316980945, 6.694043606618708 51.22458490731513, 6.6885321429067375 51.230513663686615, 6.698098210922328 51.23537494820675, 6.726949835322453 51.25693846797535, 6.70260891526308 51.271818087148986, 6.734397355936703 51.310942352430544, 6.730834901280493 51.32285446415337, 6.714569524348152 51.33287071024218))"
C2,"POLYGON ((6.686334477622688 51.55997899139157, 6.734814375296102 51.54594105417236, 6.74446241646166 51.5338177409675, 6.784259363272021 51.53197208114789, 6.780476615448479 51.52306094257395, 6.81822379583547 51.50651913775293, 6.8254693368035815 51.497288784150854, 6.804627287841128 51.47264757419369, 6.827285355611041 51.46647800488677, 6.811304990554327 51.45632766627966, 6.818789624007969 51.43959134711307, 6.815110495810312 51.37642011437151, 6.8313055406485965 51.352758955236865, 6.804967416416296 51.34788775281138, 6.8062847599035985 51.35244232819443, 6.795336851229779 51.35387176602555, 6.793931442173006 51.34345889327503, 6.739037659295026 51.348981593647416, 6.714569524348152 51.33287071024218, 6.7054445137005825 51.33644959729745, 6.656726882808082 51.3514850019835, 6.657429059158255 51.36150808818726, 6.674032558544982 51.372216672342795, 6.672987735781033 51.391181882717525, 6.65116128092582 51.38078256324472, 6.635900348508926 51.39251341870009, 6.640409333200148 51.39763185472035, 6.625600437170196 51.41175945327757, 6.629310766592482 51.41980138244191, 6.665383966680536 51.40872217433783, 6.667651156938086 51.439850764825145, 6.678005299919107 51.44932279130241, 6.663648413569935 51.48003528980506, 6.650534099233193 51.486002650490526, 6.645028382501752 51.48111974117139, 6.638127820178065 51.494532951343864, 6.644037663530969 51.4970240094983, 6.632993878276321 51.50412822718654, 6.695840585335713 51.51924924402425, 6.700068746025509 51.52433140897319, 6.676869946498064 51.538426720214105, 6.686334477622688 51.55997899139157))"
C3,"POLYGON ((6.997413758346047 51.53429631479315, 7.009664339078417 51.533101764625684, 7.020084647274902 51.5189185706974, 7.05075661742396 51.51059768496115, 7.074411289617702 51.492790075085665, 7.074262693956712 51.48299594277796, 7.105215144598337 51.48127212944906, 7.1136522632184205 51.47079083154196, 7.110048736066997 51.459580684509255, 7.1334665345417285 51.43985464667912, 7.122288721069453 51.43058197174545, 7.135896348319275 51.42576670232987, 7.129275704345934 51.41272530222583, 7.108635743812429 51.40670062059519, 7.119382306242417 51.393726191703685, 7.118884659693292 51.37915778125828, 7.089864117927003 51.36877166653396, 7.080595596029093 51.37422116154598, 7.054259853009011 51.36373149714669, 7.046575085897092 51.36829866057496, 7.036131020767145 51.36119982865494, 7.022111310364282 51.36528863010509, 7.00447000739484 51.35724334461971, 6.98796157671575 51.358777435323425, 6.964728279928088 51.34772151640664, 6.950070739644369 51.351836601628804, 6.925960717815869 51.348150199842955, 6.90284265543789 51.367143173116126, 6.916371199138427 51.37450177070389, 6.910250453846617 51.37824201398216, 6.945525991329244 51.39204259679421, 6.944248489084896 51.4150714012696, 6.961566804073737 51.43783266330185, 6.953310061093807 51.4484553783173, 6.918521489558856 51.450061508978074, 6.913113865955754 51.466628702754974, 6.900010635989384 51.47115541959844, 6.894210062687637 51.47724688995443, 6.903213690385882 51.48953819743363, 6.929533982084789 51.497833554810946, 6.987790302340505 51.508178582979895, 6.997413758346047 51.53429631479315))"
C4,"POLYGON ((6.534457852605807 51.4063938263874, 6.559115578651851 51.39015952133949, 6.580276199577529 51.393527349441875, 6.635900348508926 51.39251341870009, 6.65116128092582 51.38078256324472, 6.672987735781033 51.391181882717525, 6.674032558544982 51.372216672342795, 6.657429059158255 51.36150808818726, 6.656726882808082 51.3514850019835, 6.7054445137005825 51.33644959729745, 6.694863866243255 51.324566382138194, 6.656418866683616 51.31040223216935, 6.622867890679274 51.308017875833784, 6.621893603834886 51.291426337226305, 6.5846787502393385 51.28769289484957, 6.501043129768331 51.29062521729884, 6.491134881784105 51.30045015860709, 6.513493633330644 51.3119710267454, 6.515017501201457 51.33256580269681, 6.510231222086341 51.339827347573, 6.487066184475128 51.34713715346808, 6.481838255357735 51.39743324882694, 6.491281124831801 51.40179251932142, 6.52458015508032 51.39901418666677, 6.534457852605807 51.4063938263874))"
C5,"POLYGON ((6.457583869990996 51.247441847495814, 6.477188312206853 51.23551170129169, 6.502281955020142 51.23479492894407, 6.52342780971921 51.22558625203284, 6.510575722040012 51.22071564137659, 6.508511116414629 51.22650189113731, 6.494237333164733 51.22852812296408, 6.493189619651537 51.19309741226981, 6.4807109557316185 51.176650106076245, 6.490453031591835 51.170605358963826, 6.518257284024602 51.181361873634586, 6.534012667303932 51.144144275048085, 6.514678999388295 51.13983487956886, 6.512772072045022 51.1469960984122, 6.493160326578968 51.15046971945269, 6.469176209957094 51.13997598233503, 6.466826628903315 51.130323257454386, 6.4809637016435175 51.11050313777231, 6.463075078540486 51.116690715579196, 6.452987869382511 51.10909470313481, 6.444065027344222 51.11078530352034, 6.4360950146010625 51.10081224413603, 6.444382714940221 51.088557463331966, 6.405976718348028 51.085555167411684, 6.3904675891143325 51.09154617321311, 6.392577364162124 51.098337321565026, 6.3634586623607 51.094297681471886, 6.352044376571876 51.1043592395236, 6.3550034375056415 51.12619210865208, 6.333304150540357 51.13401658205613, 6.318940351131181 51.15013858784864, 6.301813994483217 51.15207448996934, 6.305844559487062 51.16591717536773, 6.294755827179463 51.16727583480395, 6.2917908052681915 51.17511750297291, 6.318507117790127 51.18183508172596, 6.314434852698812 51.19496345492705, 6.330322411430925 51.205953643815896, 6.3310280571862005 51.21671567083487, 6.330846266977819 51.22397220934918, 6.358993432088112 51.22807193030491, 6.369130036167472 51.217130241499056, 6.4146716364506675 51.218910083553666, 6.457583869990996 51.247441847495814))"
C6,"POLYGON ((6.811304990554327 51.45632766627966, 6.842341408797434 51.45116283673478, 6.845093813804463 51.45805825064348, 6.869964126432042 51.45863038103957, 6.900010635989384 51.47115541959844, 6.913113865955754 51.466628702754974, 6.918521489558856 51.450061508978074, 6.953310061093807 51.4484553783173, 6.961566804073737 51.43783266330185, 6.944248489084896 51.4150714012696, 6.945525991329244 51.39204259679421, 6.910250453846617 51.37824201398216, 6.916371199138427 51.37450177070389, 6.90284265543789 51.367143173116126, 6.8944464223532735 51.37090292112269, 6.8313055406485965 51.352758955236865, 6.815110495810312 51.37642011437151, 6.818789624007969 51.43959134711307, 6.811304990554327 51.45632766627966))"
C7,"POLYGON ((6.784259363272021 51.53197208114789, 6.789058624472596 51.55156312580215, 6.821650697606013 51.56543799347916, 6.815245429482956 51.573732132588916, 6.8316488335309025 51.579729203441744, 6.8678861984130055 51.567240913546065, 6.859673392078191 51.55728666015931, 6.885305489142665 51.53589069087118, 6.894447464243795 51.515706376922985, 6.908516020425183 51.503634304785855, 6.9241228866441835 51.504683463405414, 6.929533982084789 51.497833554810946, 6.903213690385882 51.48953819743363, 6.894210062687637 51.47724688995443, 6.900010635989384 51.47115541959844, 6.869964126432042 51.45863038103957, 6.845093813804463 51.45805825064348, 6.842341408797434 51.45116283673478, 6.811304990554327 51.45632766627966, 6.827285355611041 51.46647800488677, 6.804627287841128 51.47264757419369, 6.8254693368035815 51.497288784150854, 6.81822379583547 51.50651913775293, 6.780476615448479 51.52306094257395, 6.784259363272021 51.53197208114789))"
C8,"POLYGON ((7.2676656079219235 51.14565237048226, 7.2545980805242545 51.15761916576526, 7.226862406099799 51.160781147604176, 7.198129354170507 51.15067568469865, 7.166590625077481 51.15325013790095, 7.138239867174249 51.1449173065571, 7.135981942752609 51.165513382682555, 7.15217121552682 51.172994319702404, 7.142160600507217 51.18830679877984, 7.176847940230323 51.213938612380986, 7.202999825822251 51.21149538241611, 7.232536534533038 51.22583576119108, 7.254763883182976 51.22233054065086, 7.266448490524284 51.20918944548869, 7.2964350637534645 51.20589127384483, 7.305861983481332 51.179498932829176, 7.294638355732568 51.14757055354455, 7.2676656079219235 51.14565237048226))"
C9,"POLYGON ((6.987260428149754 51.17180610947403, 7.029265372781822 51.18829709372738, 7.048149557484474 51.20742928985831, 7.082885255187148 51.219652990814794, 7.104583873422839 51.214433308862404, 7.113907934953283 51.18312931608896, 7.135981942752609 51.165513382682555, 7.138239867174249 51.1449173065571, 7.166590625077481 51.15325013790095, 7.160621552945698 51.14605627462739, 7.169514371830266 51.1394683258761, 7.158910139418316 51.13350473631404, 7.171900016899282 51.126058088070906, 7.1577097649474295 51.12009434754057, 7.146145099410043 51.11647033882227, 7.116590973376479 51.12495483058364, 7.109388786596793 51.1372923171792, 7.0826794722087225 51.13780181619938, 7.073328257896664 51.125665648279394, 7.055967497052658 51.12449732384699, 7.035357028662047 51.13156165018828, 6.996552337802178 51.11714491385227, 6.996256601831234 51.144427525856436, 6.951146400520985 51.14693088991619, 6.962862797017595 51.16467987499762, 6.980680292731952 51.16529890298388, 6.987260428149754 51.17180610947403))"
C10,"POLYGON ((7.167015561687475 51.31315062403957, 7.175527649927526 51.30950167295791, 7.195784051785816 51.29534055749611, 7.251488191731724 51.316316536905376, 7.26062346241778 51.3172241290538, 7.2600235702385225 51.306959173168124, 7.252584318656909 51.2859231834105, 7.261815364805937 51.28780867249859, 7.277147057020589 51.2720933347734, 7.266798482570456 51.25749444971467, 7.28472011296209 51.24894097383699, 7.301575256951136 51.25295080213061, 7.305166070782637 51.239855785996426, 7.312346031929289 51.23394581773924, 7.295028399635429 51.22036977035646, 7.2964350637534645 51.20589127384483, 7.266448490524284 51.20918944548869, 7.254763883182976 51.22233054065086, 7.232536534533038 51.22583576119108, 7.202999825822251 51.21149538241611, 7.176847940230323 51.213938612380986, 7.142160600507217 51.18830679877984, 7.15217121552682 51.172994319702404, 7.135981942752609 51.165513382682555, 7.113907934953283 51.18312931608896, 7.104583873422839 51.214433308862404, 7.082885255187148 51.219652990814794, 7.048149557484474 51.20742928985831, 7.034312246851367 51.217872952146685, 7.051942427517227 51.23125580748937, 7.039836769512908 51.22873681879642, 7.038572040113754 51.23584197841034, 7.022068815380033 51.24292769767433, 7.0182770162722505 51.24695884645167, 7.036233239003934 51.24673432063582, 7.042454096204896 51.25479726743234, 7.064968975109108 51.25995639131842, 7.082135313677192 51.279684523988095, 7.097557198427555 51.28286587461082, 7.097039961171271 51.292397827741866, 7.107191912760105 51.30148979371396, 7.167015561687475 51.31315062403957))"
