Start_Point,End_Point,Rel_Position
C1,C2,southwestern
C1,C102,southern
C1,C119,southeastern
C1,C101,eastern
C1,C55,northeastern
C1,C98,western
C1,C99,northwestern
C1,C36,northwestern
C1,C37,northern
C1,C34,northern
C2,C109,southwestern
C2,C52,southern
C2,C47,southern
C2,C103,southeastern
C2,C107,southwestern
C2,C112,southeastern
C2,C106,southwestern
C2,C104,western
C2,C105,western
C2,C263,northwestern
C2,C110,eastern
C2,C102,eastern
C2,C96,northwestern
C2,C98,northern
C2,C1,northeastern
C3,C54,southern
C3,C55,southwestern
C3,C75,southeastern
C3,C76,eastern
C3,C73,eastern
C3,C12,northwestern
C3,C10,northwestern
C3,C11,northwestern
C3,C17,northeastern
C3,C25,western
C3,C9,northern
C3,C18,northern
C4,C25,southeastern
C4,C27,southern
C4,C26,southeastern
C4,C30,southwestern
C4,C32,western
C4,C5,eastern
C4,C42,northern
C4,C44,northern
C4,C41,northwestern
C4,C43,northeastern
C5,C10,southern
C5,C8,southeastern
C5,C25,southern
C5,C4,western
C5,C9,southeastern
C5,C7,eastern
C5,C15,northeastern
C5,C43,northern
C6,C15,southern
C6,C14,southeastern
C6,C43,southwestern
C6,C40,southwestern
C6,C20,western
C6,C21,western
C6,C22,northwestern
C6,C702,northwestern
C7,C5,western
C7,C9,southern
C7,C18,southeastern
C7,C13,eastern
C7,C15,northern
C8,C12,southern
C8,C10,southwestern
C8,C11,southeastern
C8,C5,northwestern
C8,C9,eastern
C9,C3,southern
C9,C11,southwestern
C9,C8,western
C9,C5,northwestern
C9,C18,eastern
C9,C7,northern
C10,C3,southeastern
C10,C12,southeastern
C10,C8,northeastern
C10,C25,southwestern
C10,C5,northern
C11,C3,southeastern
C11,C12,southwestern
C11,C8,northwestern
C11,C9,northeastern
C12,C3,southeastern
C12,C10,northwestern
C12,C11,northeastern
C12,C8,northern
C13,C18,southwestern
C13,C16,eastern
C13,C7,western
C13,C15,northwestern
C13,C19,northern
C14,C16,southern
C14,C15,western
C14,C19,southwestern
C14,C6,northwestern
C15,C5,southwestern
C15,C7,southern
C15,C13,southeastern
C15,C19,eastern
C15,C14,eastern
C15,C6,northern
C15,C43,western
C16,C17,southwestern
C16,C18,western
C16,C45,southern
C16,C13,western
C16,C19,northwestern
C16,C14,northern
C17,C3,southwestern
C17,C73,southern
C17,C74,southeastern
C17,C18,northwestern
C17,C45,northeastern
C17,C16,northeastern
C18,C3,southern
C18,C17,southeastern
C18,C9,western
C18,C16,eastern
C18,C7,northwestern
C18,C13,northeastern
C19,C16,southeastern
C19,C13,southern
C19,C15,western
C19,C14,northeastern
C20,C6,eastern
C20,C43,southern
C20,C39,southwestern
C20,C24,western
C20,C21,northeastern
C20,C22,northeastern
C20,C23,northern
C21,C6,eastern
C21,C20,southwestern
C21,C22,northern
C22,C6,southeastern
C22,C20,southwestern
C22,C21,southern
C22,C23,western
C22,C702,northeastern
C23,C20,southern
C23,C24,southwestern
C23,C389,western
C23,C22,eastern
C23,C704,northeastern
C23,C702,eastern
C24,C39,southern
C24,C397,southwestern
C24,C20,eastern
C24,C389,western
C24,C23,northeastern
C25,C55,southern
C25,C34,southwestern
C25,C28,western
C25,C3,eastern
C25,C10,northeastern
C25,C26,northwestern
C25,C4,northwestern
C25,C5,northern
C26,C34,southern
C26,C35,southwestern
C26,C28,southern
C26,C25,southeastern
C26,C27,western
C26,C4,northwestern
C27,C33,southwestern
C27,C35,southeastern
C27,C26,eastern
C27,C30,northwestern
C27,C4,northern
C28,C34,southern
C28,C25,eastern
C28,C26,northern
C29,C38,southern
C29,C33,southeastern
C29,C94,western
C29,C30,northeastern
C29,C31,northwestern
