Name,aH,Pop_total,pop_male,pop_female
Nordrhein-Westfalen,Bundesland, 18193799,8936339,9257460
Düsseldorf,Regierungsbezirk,5281469,2582452,2699017
Düsseldorf,krfr.Stadt,632867,305588,327279
Duisburg,krfr.Stadt,503129,249147,253982
Essen,krfr.Stadt,587115,285704,301411
Krefeld,krfr.Stadt,229009,111755,117254
Mönchengladbach,krfr.Stadt,268548,133450,135098
Mülheim an der Ruhr,krfr.Stadt,173327,83702,89625
Oberhausen,krfr.Stadt,211297,103236,108061
Remscheid,krfr.Stadt,112939,56124,56815
Solingen,krfr.Stadt,161254,78642,82612
Wuppertal,krfr.Stadt,359070,176351,182719
Kleve,Kreis,323452,161793,161659
Bedburg-Hau,13636,7000,6636
Emmerich am Rhein,Stadt,32313,16205,16108
Geldern,Stadt,34845,17466,17379
Goch,Stadt,35658,17847,17811
Issum,12503,6127,6376
Kalkar,Stadt,14322,7169,7153
Kerken,13002,6447,6555
Kevelaer,Stadt,28503,14057,14446
Kleve,Stadt,53523,26614,26909
Kranenburg,11366,5833,5533
Rees,Stadt,21443,10743,10700
Rheurdt,6631,3285,3346
Straelen,Stadt,16764,8368,8396
Uedem,8441,4214,4227
Wachtendonk,8342,4180,4162
Weeze,12160,6238,5922
Mettmann,Kreis,490840,237747,253093
Erkrath,Stadt,43751,20988,22763
Haan,Stadt,30570,14623,15947
Heiligenhaus,Stadt,26503,12893,13610
Hilden,Stadt,55686,26879,28807
Langenfeld (Rhld.),Stadt,59890,29066,30824
Mettmann,Stadt,39226,18838,20388
Monheim am Rhein,Stadt,43739,21121,22618
Ratingen,Stadt,88007,42730,45277
Velbert,Stadt,82470,40463,42007
Wülfrath,Stadt,20998,10146,10852
Rhein-Kreis Neuss,458129,222748,235381
Dormagen,Stadt,64941,32311,32630
Grevenbroich,Stadt,64552,31169,33383
Jüchen,Stadt,24153,11870,12283
Kaarst,Stadt,44265,21228,23037
Korschenbroich,Stadt,34373,16696,17677
Meerbusch,Stadt,57409,27582,29827
Neuss,Stadt,154771,75134,79637
Rommerskirchen,13665,6758,6907
Viersen,Kreis,303238,148608,154630
Brüggen,16200,7953,8247
Grefrath,15131,7433,7698
Kempen,Stadt,34832,16885,17947
Nettetal,Stadt,43277,21326,21951
Niederkrüchten,15399,7562,7837
Schwalmtal,19240,9445,9795
Tönisvorst,Stadt,29422,14537,14885
Viersen,Stadt,79521,38835,40686
Willich,Stadt,50216,24632,25584
Wesel,Kreis,467255,227857,239398
Alpen,12992,6419,6573
Dinslaken,Stadt,67951,32775,35176
Hamminkeln,Stadt,27331,13618,13713
Hünxe,13949,6811,7138
Kamp-Lintfort,Stadt,38672,18986,19686
Moers,Stadt,105334,51087,54247
Neukirchen-Vluyn,Stadt,27929,13492,14437
Rheinberg,Stadt,31086,15223,15863
Schermbeck,13583,6744,6839
Sonsbeck,8822,4367,4455
Voerde (Niederrhein),Stadt,36251,17793,18458
Wesel,Stadt,61547,29890,31657
Xanten,Stadt,21808,10652,11156
Köln,Regierungsbezirk,4543769,2227603,2316166
Bonn,krfr.Stadt,335760,160609,175151
Köln,krfr.Stadt,1086463,527236,559227
Leverkusen,krfr.Stadt,166941,81477,85464
Städteregion Aachen,563281,284369,278912
Aachen,krfr.Stadt (ab21.10.2009),251549,131293,120256
Alsdorf,Stadt (ab21.10.2009),48304,23938,24366
Baesweiler,Stadt (ab21.10.2009),27992,13542,14450
Eschweiler,Stadt (ab21.10.2009),56152,27591,28561
Herzogenrath,Stadt (ab21.10.2009),47209,22904,24305
Monschau,Stadt (ab21.10.2009),11915,5881,6034
Roetgen,Stadt (ab21.10.2009),8762,4331,4431
Simmerath,Stadt (ab21.10.2009),15986,7965,8021
Stolberg (Rhld.),Stadt (ab21.10.2009),56547,27942,28605
Würselen,Stadt (ab21.10.2009),38865,18982,19883
Düren,Kreis,272937,135508,137429
Aldenhoven,14220,7118,7102
Düren,Stadt,93351,46225,47126
Heimbach,Stadt,4339,2181,2158
Hürtgenwald,9002,4506,4496
Inden,7600,3751,3849
Jülich,Stadt,33356,16770,16586
Kreuzau,17822,8782,9040
Langerwehe,14444,7079,7365
Linnich,Stadt,13094,6488,6606
Merzenich,10419,5167,5252
Nideggen,Stadt,10411,5072,5339
Niederzier,14523,7208,7315
Nörvenich,11535,5688,5847
Titz,8872,4445,4427
Vettweiß,9949,5028,4921
Rhein-Erft-Kreis,481398,234956,246442
Bedburg,Stadt,24723,12228,12495
Bergheim,Stadt,62258,30399,31859
Brühl,Stadt,45629,21785,23844
Elsdorf,Stadt,22154,10964,11190
Erftstadt,Stadt,50093,24253,25840
Frechen,Stadt,53027,25917,27110
Hürth,Stadt,61078,29787,31291
Kerpen,Stadt,67612,33310,34302
Pulheim,Stadt,56183,27172,29011
Wesseling,Stadt,38641,19141,19500
Euskirchen,Kreis,200545,99609,100936
Bad Münstereifel,Stadt,17598,8520,9078
Blankenheim,8440,4287,4153
Dahlem,4461,2233,2228
Euskirchen,Stadt,60331,29745,30586
Hellenthal,8043,4038,4005
Kall,11148,5567,5581
Mechernich,Stadt,29065,14502,14563
Nettersheim,8776,4545,4231
Schleiden,Stadt,13294,6711,6583
Weilerswist,17872,8812,9060
Zülpich,Stadt,21517,10649,10868
Heinsberg,Kreis,263098,130232,132866
Erkelenz,Stadt,44630,21822,22808
Gangelt,13523,6754,6769
Geilenkirchen,Stadt,28429,14250,14179
Heinsberg,Stadt,43592,21571,22021
Hückelhoven,Stadt,41567,20585,20982
Selfkant,10698,5383,5315
Übach-Palenberg,Stadt,24513,12333,12180
Waldfeucht,9259,4651,4608
Wassenberg,Stadt,19560,9651,9909
Wegberg,Stadt,27327,13232,14095
Oberbergischer Kreis,275840,135768,140072
Bergneustadt,Stadt,18627,9072,9555
Engelskirchen,19623,9555,10068
Gummersbach,Stadt,51855,25597,26258
Hückeswagen,Stadt,14676,7339,7337
Lindlar,21834,10645,11189
Marienheide,13740,6941,6799
Morsbach,10304,5114,5190
Nümbrecht,17749,8723,9026
Radevormwald,Stadt,22071,10725,11346
Reichshof,18791,9386,9405
Waldbröl,Stadt,20106,9806,10300
Wiehl,Stadt,25452,12421,13031
Wipperfürth,Stadt,21012,10444,10568
Rheinisch-Bergischer Kreis,287217,138997,148220
Bergisch Gladbach,Stadt,112806,54059,58747
Burscheid,Stadt,18977,9276,9701
Kürten,20157,9885,10272
Leichlingen (Rhld.),Stadt,28318,13600,14718
Odenthal,15427,7575,7852
Overath,Stadt,27516,13405,14111
Rösrath,Stadt,29242,14292,14950
Wermelskirchen,Stadt,34774,16905,17869
Rhein-Sieg-Kreis,610289,298842,311447
Alfter,23900,11700,12200
Bad Honnef,Stadt,26088,12589,13499
Bornheim,Stadt,49216,23967,25249
Eitorf,19136,9452,9684
Hennef (Sieg),Stadt,48159,23413,24746
Königswinter,Stadt,41539,20139,21400
Lohmar,Stadt,30916,15093,15823
Meckenheim,Stadt,25043,12109,12934
Much,14885,7185,7700
Neunkirchen-Seelscheid,20290,9988,10302
Niederkassel,Stadt,39429,19449,19980
Rheinbach,Stadt,27240,13686,13554
Ruppichteroth,10678,5217,5461
Sankt Augustin,Stadt,56500,27591,28909
Siegburg,Stadt,42016,20626,21390
Swisttal,18810,9220,9590
Troisdorf,Stadt,76455,37614,38841
Wachtberg,20680,10166,10514
Windeck,19309,9638,9671
Münster,Regierungsbezirk,2679622,1321164,1358458
Bottrop,krfr.Stadt,118357,57698,60659
Gelsenkirchen,krfr.Stadt,265747,132249,133498
Münster,krfr.Stadt,322656,155222,167434
Borken,Kreis,382225,191525,190700
Ahaus,Stadt,40655,20335,20320
Bocholt,Stadt,72539,35684,36855
Borken,Stadt,43726,21589,22137
Gescher,Stadt,17538,8835,8703
Gronau (Westf.),Stadt,50224,25194,25030
Heek,8800,4433,4367
Heiden,8629,4319,4310
Isselburg,Stadt,11328,5719,5609
Legden,7597,3931,3666
Raesfeld,11933,6041,5892
Reken,15460,7792,7668
Rhede,Stadt,19886,9958,9928
Schöppingen,6751,3660,3091
Stadtlohn,Stadt,20816,10469,10347
Südlohn,9698,4913,4785
Velen,Stadt,13374,6780,6594
Vreden,Stadt,23271,11873,11398
