ID,Name,Centroid,Area,Pop_total
C1,Brilon,POINT (8.603999826038203 51.4080887876535),228.95,25575
C2,Marsberg,POINT (8.839925858824454 51.447003440089865),182.08,19714
C3,Arnsberg,POINT (8.02215855606364 51.41826829478145),193.56,74108
C4,Sundern (Sauerland),POINT (8.005766117357961 51.310574839748945),193.09,27803
C5,Eslohe (Sauerland),POINT (8.17534497531486 51.248743894874444),113.3,4548
C6,Bestwig,POINT (8.401024705277395 51.34060226879702),69.45,5414
C7,Olsberg,POINT (8.488405764384432 51.32964623245916),117.89,14445
C8,Hallenberg,POINT (8.61814702056128 51.128724299049324),65.34,4535
C9,Schmallenberg,POINT (8.31582891870751 51.18310270530235),302.86,25077
C10,Medebach,POINT (8.675283179063063 51.207965481780164),125.94,8097
C11,Meschede,POINT (8.247669669884349 51.33812696031539),218.3,29983
C12,Winterberg,POINT (8.51821331764042 51.2058093782543),147.86,12743
C13,Horn-Bad Meinberg,POINT (8.96905606138486 51.8702149411719),90.1,17295
C14,Schieder-Schwalenberg,POINT (9.16841707834635 51.9020188022282),60.03,8259
C15,Lemgo,POINT (8.901911943452067 52.03366885811796),100.76,40441
C16,Detmold,POINT (8.88200217460228 51.932730697823736),129.31,74743
C17,Kalletal,POINT (8.959037319197027 52.121815333206435),112.34,6629
C18,Oerlinghausen,POINT (8.675701257645926 51.94794317369674),32.67,17275
C19,Bad Salzuflen,POINT (8.760574643418511 52.071743983212045),99.97,54444
C20,Augustdorf,POINT (8.755987131241191 51.90128017253607),42.21,5239
C21,Leopoldshöhe,POINT (8.687330664957212 52.00880426623789),36.94,8355
C22,Extertal,POINT (9.098359758836716 52.09144886764765),92.42,5376
C23,Blomberg,POINT (9.058222033345247 51.95298015031862),99.02,15404
C24,Lügde,POINT (9.265430628791481 51.9114032495068),88.56,9259
C25,Schlangen,POINT (8.829798453372891 51.83659404262959),75.88,4676
C26,Lage,POINT (8.777524440717118 51.98231035058577),75.92,35265
C27,Dörentrup,POINT (9.03245053343739 52.03383324283639),49.76,3924
C28,Barntrup,POINT (9.12690356292636 52.005833335510644),59.41,8550
C29,Frechen,POINT (6.784098070096998 50.91361984942928),45.1,53027
C30,Kerpen,POINT (6.669809237913274 50.87460707876922),113.9,67612
C31,Bergheim,POINT (6.6740543698027 50.967839183462836),96.32,62258
C32,Elsdorf,POINT (6.562203781840212 50.93177105862851),66.2,22154
C33,Pulheim,POINT (6.784367371476122 51.00014189675745),72.15,56183
C34,Wesseling,POINT (6.977045192140207 50.81715138302889),23.37,38641
C35,Bedburg,POINT (6.545393418465907 51.00979211795103),80.42,24723
C36,Erftstadt,POINT (6.7668882204190846 50.79303213831788),119.87,50093
C37,Hürth,POINT (6.858815546208101 50.873794079073534),51.2,61078
C38,Brühl,POINT (6.886755771530227 50.82078209971593),36.12,45629
C39,Remscheid,POINT (7.223857999147861 51.18269044136859),74.52,112939
C40,Herne,POINT (7.208453727874176 51.537505167703685),51.4,158162
C41,Düsseldorf,POINT (6.810211931884141 51.235569426827546),217.4,632867
C42,Köln,POINT (6.973700619054709 50.945620792642615),404.92,1086463
C43,Aachen,POINT (6.1088903047431895 50.760063358802135),160.91,251549
C44,Simmerath,POINT (6.328119958815929 50.614104724267065),110.89,15986
C45,Monschau,POINT (6.2667297050096655 50.5418488334309),94.28,11915
C46,Roetgen,POINT (6.222883489382031 50.665221966303484),52.1,8762
