ID,Name,Centroid,Area,Pop_total
D1,Hochsauerlandkreis,POINT (8.384858204548713 51.30692468508486),1958.61,130884.0
D2,Herne,POINT (7.208453727874176 51.537505167703685),51.4,158162.0
D3,Siegen-Wittgenstein,POINT (8.194900366385431 50.937725059228136),1132.07,276552.0
D4,Hagen,POINT (7.4971780629257525 51.348271686077105),160.4,190142.0
D5,Bochum,POINT (7.224642335694004 51.46986605526272),145.62,366736.0
D6,Olpe,POINT (7.97662693843654 51.08622192445888),711.69,134378.0
D7,Märkischer Kreis,POINT (7.712896818365649 51.26254927408714),1060.41,201071.0
D8,Soest,POINT (8.21750234789199 51.5645201276465),1327.73,306312.0
D9,Hamm,POINT (7.824057652223039 51.66539100921328),226.3,181156.0
D10,Unna,POINT (7.636678789534363 51.57868086503317),542.9,397937.0
D11,Ennepe-Ruhr-Kreis,POINT (7.323958201803926 51.3465821263218),409.4,157546.0
D12,Dortmund,POINT (7.475327389339492 51.51588878700843),280.53,596720.0
D13,Lippe,POINT (8.950927451054865 51.9814227798099),1245.31,349174.0
D14,Minden-Lübbecke,POINT (8.739479197774186 52.352437139221564),1151.48,315985.0
D15,Paderborn,POINT (8.719658238296413 51.66425300792432),1245.81,315394.0
D16,Bielefeld,POINT (8.54086351976485 52.01091297188324),258.62,338084.0
D17,Höxter,POINT (9.178132750221103 51.684856742806346),1200.37,142134.0
D18,Herford,POINT (8.644038213913563 52.16752831878052),450.07,253120.0
D19,Gütersloh,POINT (8.351368340731852 51.93166571569668),968.47,372622.0
D20,Rhein-Erft-Kreis,POINT (6.71658795243245 50.90501974277515),704.65,234956.0
D21,Köln,POINT (6.973700619054709 50.945620792642615),404.92,1086463.0
D22,Städteregion Aachen,POINT (6.216396380378052 50.72382133324529),727.75,284369.0
D23,Bonn,POINT (7.10983824039709 50.70576728669398),141.02,335760.0
D24,Heinsberg,POINT (6.164170557485941 51.04933922633533),628.05,263098.0
D25,Rhein-Sieg-Kreis,POINT (7.234352515678646 50.76066906770668),1152.72,298842.0
D26,Düren,POINT (6.445584824655489 50.817823368970096),941.43,272937.0
D27,Oberbergischer Kreis,POINT (7.516477793239922 51.01266547488383),918.33,135768.0
D28,Rheinisch-Bergischer Kreis,POINT (7.194501037368504 51.023036068190855),437.18,138997.0
D29,Leverkusen,POINT (7.015245164521681 51.05305276308195),78.84,166941.0
D30,Euskirchen,POINT (6.6441664398764395 50.536368504517654),1248.59,200545.0
D31,Remscheid,POINT (7.223857999147861 51.18269044136859),74.52,112939.0
D32,Düsseldorf,POINT (6.810211931884141 51.235569426827546),217.4,632867.0
D33,Wuppertal,POINT (7.168961351213943 51.25085274951573),168.3,359070.0
D34,Krefeld,POINT (6.5797440862117025 51.34496961824529),137.76,229009.0
D35,Kleve,POINT (6.258776987316016 51.65241551366147),1233.09,323452.0
D36,Oberhausen,POINT (6.847088221648219 51.51309143378302),77.07,211297.0
D37,Viersen,POINT (6.3260189749161935 51.28280146778894),563.28,303238.0
D38,Essen,POINT (7.017113165124831 51.43381222932066),210.28,587115.0
D39,Wesel,POINT (6.618444577394805 51.62701467723014),1042.64,467255.0
D40,Mönchengladbach,POINT (6.412026007991767 51.167300453136214),170.49,268548.0
D41,Solingen,POINT (7.066391224473266 51.162489906355404),89.51,161254.0
D42,Mettmann,POINT (6.968939186415692 51.25724636458012),407.04,490840.0
D43,Mülheim a.d. Ruhr,POINT (6.878315260473767 51.413738385083576),91.25,
D44,Rhein-Kreis Neuss,POINT (6.649468811547157 51.14349599233524),576.31,222748.0
D45,Duisburg,POINT (6.734681053089321 51.43977172620516),232.8,503129.0
D46,Bottrop,POINT (6.920181016572514 51.571733152676835),100.6,118357.0
D47,Gelsenkirchen,POINT (7.070917555724674 51.55404249468023),104.93,265747.0
D48,Borken,POINT (6.899504320303222 51.96129235021816),1420.55,382225.0
D49,Recklinghausen,POINT (7.159413781460608 51.67247817344073),761.0,619929.0
D50,Steinfurt,POINT (7.579486677909566 52.21152070531983),1794.67,460404.0
D51,Münster,POINT (7.623679370079539 51.95429775444533),303.15,322656.0
D52,Coesfeld,POINT (7.3657833940288535 51.866924731496084),1111.46,227036.0
D53,Warendorf,POINT (7.958096899166875 51.870188911893194),1318.62,283268.0
