StartID,EndID,Rel_Position
C1,C7,southwestern
C1,C2,eastern
C1,C166,northeastern
C1,C164,northern
C1,C155,northwestern
C2,C170,northern
C2,C1,western
C2,C166,northwestern
C2,C334,northeastern
C3,C11,southeastern
C3,C152,eastern
C3,C123,western
C3,C4,southern
C3,C154,northeastern
C3,C160,northwestern
C3,C161,northern
C3,C133,southwestern
C4,C5,southeastern
C4,C11,eastern
C4,C128,western
C4,C117,southern
C4,C136,southwestern
C4,C3,northern
C4,C133,western
C5,C11,northeastern
C5,C9,southeastern
C5,C115,southwestern
C5,C117,southwestern
C5,C4,northwestern
C6,C12,southeastern
C6,C7,eastern
C6,C11,western
C6,C9,southern
C6,C152,northwestern
C6,C155,northern
C7,C12,southern
C7,C1,northeastern
C7,C6,western
C7,C9,southwestern
C7,C155,northern
C8,C10,northeastern
C8,C12,northwestern
C8,C63,southwestern
C9,C12,eastern
C9,C7,northeastern
C9,C5,northwestern
C9,C11,northern
C9,C6,northern
C9,C63,southeastern
C9,C115,western
C10,C8,southwestern
C10,C12,western
C11,C5,southwestern
C11,C6,eastern
C11,C9,southern
C11,C152,northern
C11,C4,western
C11,C3,northwestern
C12,C8,southeastern
C12,C10,eastern
C12,C7,northern
C12,C6,northwestern
C12,C9,western
C12,C63,southwestern
C13,C332,eastern
C13,C14,eastern
C13,C23,northeastern
C13,C16,northwestern
C13,C169,southern
C13,C25,western
C13,C167,southwestern
C14,C333,southeastern
C14,C332,southwestern
C14,C13,western
C14,C24,eastern
C14,C23,northwestern
C14,C330,southwestern
C15,C19,northwestern
C15,C26,southwestern
C15,C356,northern
C15,C23,southeastern
C15,C16,southern
C15,C27,eastern
C15,C17,northern
C16,C13,southeastern
C16,C26,northwestern
C16,C23,eastern
C16,C15,northern
C16,C20,western
C16,C25,southern
C17,C356,western
C17,C15,southern
C17,C27,southeastern
C17,C22,eastern
C17,C91,northern
C18,C26,northeastern
C18,C374,southern
C18,C20,southeastern
C18,C318,northwestern
C18,C21,northern
C19,C26,southern
C19,C356,northeastern
C19,C15,southeastern
C19,C318,southwestern
C19,C21,southwestern
C19,C358,northwestern
C20,C26,northern
C20,C16,eastern
C20,C374,western
C20,C25,southeastern
C20,C18,northwestern
C21,C19,northeastern
C21,C26,southeastern
C21,C318,western
C21,C18,southern
C22,C28,southern
C22,C27,southwestern
C22,C17,western
C23,C13,southwestern
C23,C24,eastern
C23,C14,southeastern
C23,C16,western
C23,C28,northeastern
C23,C15,northwestern
C23,C27,northern
C24,C333,southern
C24,C14,western
C24,C23,western
C24,C336,southern
C25,C13,eastern
C25,C16,northern
C25,C163,western
C25,C374,northwestern
C25,C20,northwestern
C25,C167,southern
C26,C19,northern
C26,C16,southeastern
C26,C15,northeastern
C26,C20,southern
C26,C18,southwestern
C26,C21,northwestern
C27,C23,southern
C27,C28,southeastern
C27,C15,western
C27,C22,northeastern
C27,C17,northwestern
C28,C23,southwestern
C28,C27,northwestern
C28,C22,northern
C29,C42,eastern
C29,C37,southeastern
C29,C31,northwestern
C29,C33,northern
C29,C30,southwestern
C30,C37,eastern
C30,C29,northeastern
C30,C32,northwestern
C30,C31,northern
C30,C36,southeastern
C30,C290,southern
C30,C289,southwestern
C31,C29,southeastern
C31,C32,southwestern
C31,C33,northeastern
C31,C35,northwestern
C31,C274,northern
C31,C30,southern
C32,C31,northeastern
C32,C35,northern
C32,C289,southern
C32,C30,southeastern
C32,C294,southwestern
C32,C280,northwestern
C33,C278,northern
C33,C42,southeastern
C33,C29,southern
C33,C31,southwestern
C33,C274,northwestern
C34,C260,eastern
C34,C38,western
C34,C264,southern
C34,C42,northern
C35,C32,southern
C35,C31,southeastern
C35,C274,northeastern
C35,C273,northeastern
C35,C279,northern
C35,C280,western
C36,C38,eastern
C36,C390,southeastern
C36,C37,northeastern
C36,C290,western
C36,C30,northwestern
C36,C291,southwestern
C36,C392,southwestern
C37,C38,southern
C37,C42,northeastern
C37,C29,northwestern
C37,C36,southwestern
C37,C30,western
C38,C34,eastern
C38,C264,southeastern
C38,C390,southern
C38,C42,northeastern
C38,C37,northern
C38,C36,western
C39,C316,southern
C39,C300,southeastern
C39,C241,western
C39,C53,northwestern
C39,C297,eastern
C40,C137,northeastern
C40,C66,southern
C40,C86,western
C40,C141,northwestern
C40,C142,northern
C41,C278,southern
C41,C249,southern
C41,C247,southeastern
C41,C245,northeastern
C41,C317,northern
C41,C242,eastern
C41,C246,eastern
C41,C248,southeastern
C41,C276,northwestern
C41,C275,southwestern
C42,C278,northwestern
C42,C249,northern
C42,C262,southeastern
C42,C260,southern
C42,C34,southern
C42,C38,southwestern
C42,C37,southwestern
C42,C313,eastern
C42,C29,western
C42,C310,eastern
C42,C319,northern
C42,C33,northwestern
C43,C46,southeastern
C43,C52,eastern
C43,C51,northern
C43,C48,northeastern
C43,C50,northern
C44,C283,eastern
C44,C46,northwestern
C44,C288,northeastern
C44,C45,southwestern
C44,C393,southeastern
C44,C281,northern
C44,C52,northern
C45,C44,northeastern
C45,C393,eastern
C45,C387,southeastern
C46,C44,southeastern
C46,C52,northern
C46,C43,northwestern
C47,C51,southern
C47,C48,southeastern
C47,C50,western
C47,C49,northern
C47,C282,northeastern
C48,C52,southern
C48,C286,southeastern
C48,C51,western
C48,C43,southwestern
C48,C47,northwestern
C48,C282,northern
C48,C287,northeastern
C49,C50,southwestern
C49,C47,southern
C49,C213,western
C49,C282,eastern
C49,C292,northeastern
C49,C208,northwestern
C50,C51,southeastern
C50,C43,southern
C50,C47,eastern
C50,C49,northeastern
C50,C213,northern
C51,C43,southern
C51,C48,eastern
C51,C50,northwestern
C51,C47,northern
C52,C46,southern
C52,C44,southern
C52,C281,southeastern
C52,C286,northeastern
C52,C43,western
C52,C48,northern
C53,C323,northern
C53,C243,northwestern
C53,C321,northeastern
C53,C241,southwestern
C53,C39,southeastern
C53,C244,southwestern
C53,C251,northwestern
C53,C325,northeastern
C53,C242,western
C53,C297,eastern
C53,C326,eastern
C54,C61,eastern
C54,C116,northern
C55,C59,northeastern
C55,C56,eastern
C55,C58,northwestern
C55,C61,western
C55,C62,northern
C55,C57,southern
C56,C59,northwestern
C56,C63,northern
C56,C55,western
C57,C61,northwestern
C57,C64,southwestern
C57,C60,southern
C57,C55,northern
C58,C61,southern
C58,C62,eastern
C58,C55,southeastern
C58,C121,northeastern
C58,C116,western
C58,C118,northwestern
C59,C56,southeastern
C59,C63,northeastern
C59,C62,western
C59,C55,southwestern
C59,C121,northwestern
C60,C64,northwestern
C60,C57,northern
C61,C58,northern
C61,C64,southern
C61,C55,eastern
C61,C57,southeastern
C61,C116,northwestern
C61,C54,western
C62,C59,eastern
C62,C58,western
C62,C55,southern
C62,C121,northern
C63,C8,northeastern
C63,C12,northeastern
C63,C9,northwestern
C63,C59,southwestern
C63,C56,southern
C63,C121,western
C63,C115,western
C64,C61,northern
C64,C60,southeastern
C64,C57,northeastern
C65,C322,western
C65,C236,northeastern
C65,C134,southeastern
C65,C327,northwestern
C65,C328,western
C65,C359,northern
C65,C131,eastern
C65,C320,southern
C65,C135,southeastern
C65,C326,southwestern
C66,C137,northeastern
C66,C206,western
C66,C40,northern
C66,C323,southern
C66,C86,northwestern
C66,C324,southeastern
C66,C359,eastern
C67,C262,northern
C67,C260,northern
C67,C255,southeastern
C67,C267,eastern
C67,C265,southwestern
C67,C270,southern
C67,C256,western
C67,C264,northwestern
C67,C271,northeastern
C68,C317,northeastern
C68,C217,northern
C68,C229,northern
C68,C172,western
C68,C176,southwestern
C68,C174,western
C68,C276,southeastern
C69,C77,southeastern
C69,C72,northeastern
C69,C74,northwestern
C70,C74,southern
C70,C81,western
C70,C71,southeastern
C70,C76,northeastern
C70,C75,southeastern
C71,C72,southeastern
C71,C74,southwestern
C71,C70,northwestern
C71,C75,eastern
C72,C77,southern
C72,C69,southwestern
C72,C74,western
C72,C222,southeastern
C72,C223,eastern
C72,C71,northwestern
C72,C75,northern
C73,C84,western
C73,C83,southwestern
C73,C82,northwestern
C73,C80,northern
C73,C79,eastern
C73,C172,southeastern
C74,C69,southeastern
C74,C72,eastern
C74,C81,northwestern
C74,C70,northern
C74,C71,northeastern
C75,C72,southern
C75,C223,southeastern
C75,C70,northwestern
C75,C71,western
C75,C76,northern
C75,C78,eastern
C76,C70,southwestern
C76,C75,southern
C76,C78,southeastern
C77,C82,southern
C77,C69,northwestern
C77,C72,northern
C77,C222,northeastern
C78,C218,southeastern
C78,C225,eastern
C78,C223,southern
C78,C76,northwestern
C78,C75,western
C78,C112,northern
C79,C73,western
C79,C80,northern
C79,C219,northeastern
C79,C229,eastern
C79,C172,southern
C80,C82,western
C80,C73,southern
C80,C79,southern
C80,C220,northeastern
C80,C219,eastern
C80,C222,northern
C81,C74,southeastern
C81,C70,eastern
C82,C84,southern
C82,C73,southeastern
C82,C80,eastern
C82,C77,northern
C82,C222,northern
C83,C84,northwestern
C83,C73,northeastern
C83,C172,eastern
C83,C177,southern
C83,C178,southwestern
C84,C83,southeastern
C84,C82,northern
C84,C73,eastern
C84,C178,southern
C85,C206,southeastern
C85,C139,eastern
C85,C147,southwestern
C85,C221,western
C85,C138,northern
C85,C224,northern
C85,C227,northwestern
C86,C66,southeastern
C86,C206,southern
C86,C40,eastern
C86,C141,northeastern
C86,C139,western
C86,C138,northern
C86,C143,northern
